probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
syn10m04m	1224	3384	0.2861	0.9979	0.0013	1.9207	0.0016	2.2054	0.0042	2.7018	0.0052	2.8932	0.0018	2.3257	0.0017	2.0426	0.0019	3.3316	0.0019	3.4111	0.0027	2.6422	0.0012	2.0053	0.0017	2.3895	0.0025	2.5095
ex5_2_4	18	62	0.1469	0.9461	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_m2	72	1226	0.2112	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_bpk1	16	44	0.1349	0.9391	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
multiplants_stg1	736	3594	0.6003	0.7853	0.0023	2.2190	0.0022	1.8954	0.0058	2.6342	0.0073	2.5805	0.0016	2.0463	0.0016	2.0283	0.0015	2.4554	0.0015	2.4470	0.0021	2.7727	0.0009	1.4991	0.0015	2.0769	0.0021	2.1635
powerflow0300p	11251	41918	0.7861	0.9616	0.0282	1.8715	0.0287	2.1880	0.1042	1.7233	0.1448	1.8437	0.0227	1.8038	0.0225	1.8852	0.0218	2.5266	0.0211	1.9486	0.0275	2.1246	0.0179	1.7724	0.0212	1.8856	0.0378	2.7247
sonet23v4	803	6462	0.4924	0.6753	0.0020	0.8145	0.0022	0.7341	0.0035	0.8249	0.0042	0.7405	0.0013	0.8160	0.0007	0.7382	0.0009	0.8118	0.0009	0.8163	0.0009	0.8131	0.0008	0.8218	0.0009	0.8131	0.0011	0.7382
pooling_sppa0pq	1649	24192	0.4333	0.3297	0.0117	1.6431	0.0111	1.4991	0.0272	1.1497	0.0310	1.1890	0.0063	1.3375	0.0060	1.4548	0.0062	0.9734	0.0045	1.7820	0.0089	1.2934	0.0038	1.3551	0.0067	1.4069	0.0093	1.1767
multiplants_mtg1b	645	4404	0.5036	0.6627	0.0022	0.7824	0.0023	0.8565	0.0042	0.7876	0.0059	1.0359	0.0017	0.7745	0.0018	0.8793	0.0016	0.9385	0.0017	1.1594	0.0027	1.0185	0.0010	0.9830	0.0017	0.8440	0.0024	1.4333
sssd18-08persp	338	1168	0.2552	1.0000	0.0004	1.0309	0.0004	1.0350	0.0010	1.3264	0.0011	1.3264	0.0003	1.3887	0.0003	1.3887	0.0003	1.0309	0.0003	1.0436	0.0004	1.0309	0.0001	1.0000	0.0003	1.3887	0.0004	1.0309
